ticker,horizon,ew_alpha,ew_beta,ew_beta_raw,ew_r2,n,beta_capped
NOC,63,0.12923820903585986,0.35493088572607423,0.354931,0.06603357477108651,2953,False
NOC,126,0.14829649303340697,0.29808006425591105,0.29808,0.02815480765086309,2953,False
NVDA,21,0.05124942553548667,0.8946226479892188,0.894623,0.3060108880648158,2953,False
NVDA,63,0.08699102136932846,0.787693844653476,0.787694,0.25661842899740295,2953,False
NVDA,126,0.09593933253937442,0.73075029585907,0.73075,0.2412422804158838,2953,False
ORCL,21,0.028019562528768388,1.0367691046855292,1.036769,0.3886062129730776,2953,False
ORCL,63,-0.012514174290342073,1.282555347308582,1.282555,0.6421147300616221,2953,False
ORCL,126,0.011904400972882145,1.214286862442623,1.214287,0.6679460108079162,2953,False
PEP,21,0.08768808811758406,0.48597174997454856,0.485972,0.09230899586963393,2953,False
PEP,63,0.10613796053841042,0.39585029388004067,0.39585,0.048459156125858605,2953,False
PEP,126,0.05191453405617423,0.7320363272609537,0.732036,0.23491639337291992,2953,False
PFE,21,0.12348993302742235,0.4518937142512864,0.451894,0.06155631721945398,2953,False
PFE,63,0.18201860829241806,0.18066970115948017,0.18067,0.011681782180036682,2953,False
PFE,126,0.0842913300140653,0.648829047733993,0.648829,0.1863437195687312,2953,False
PG,21,0.05768685346137531,0.6155012649863432,0.615501,0.1329078917463079,2953,False
PG,63,0.14236593880804665,0.06340808271782955,0.063408,0.0011502835949792622,2953,False
PG,126,0.03243360119748526,0.8066119786940246,0.806612,0.15320448969963285,2953,False
PLD,21,0.12881544824414637,0.44816973455729303,0.44817,0.07065821531109695,2953,False
PLD,63,0.2140954773587132,0.09327507281148657,0.093275,0.004924655742797546,2953,False
PLD,126,0.17535501272155068,0.2556563734746403,0.255656,0.02689306443099626,2953,False
PM,21,0.04578931113736931,0.7540147892404367,0.754015,0.20441349929288433,2953,False
PM,63,0.0064681026945900555,0.9563670522848698,0.956367,0.378817130290673,2953,False
PM,126,-0.009795278097274457,1.0681070189352873,1.068107,0.48722208467909556,2953,False
PSX,21,0.08546625260829768,0.7000449892329907,0.700045,0.1788076775892231,2620,False
PSX,63,0.04367688828128774,0.8767725540970486,0.876773,0.19985150416075004,2620,False
PSX,126,0.016930840874821218,0.9661313401657761,0.966131,0.22367415518641465,2620,False
QCOM,21,0.17145383972706357,0.3967912090402024,0.396791,0.05158309870488109,2953,False
QCOM,63,0.19225831719440603,0.37772406463247304,0.377724,0.020422229655615798,2953,False
QCOM,126,0.058214213462307485,0.8736509760124961,0.873651,0.2608270587408805,2953,False
RTX,21,0.13128236108723726,0.292437243116604,0.292437,0.044156093752156234,626,False
RTX,63,0.14041861793936983,0.2622894498920176,0.262289,0.036589586244753614,626,False
RTX,126,0.023283709072584924,0.8660955277406043,0.866096,0.42280653483622954,626,False
SBUX,21,0.028260165422410277,0.9490308208520593,0.949031,0.2624217268454736,2953,False
SBUX,63,0.07866115587992994,0.7343407513447884,0.734341,0.13922941859393745,2953,False
SBUX,126,0.014425147731315147,1.0500165625162667,1.050017,0.30728440235174026,2953,False
SCHW,21,0.1307777439433086,0.44284449569302203,0.442844,0.05145725317597527,2953,False
SCHW,63,0.26599871523510105,-0.081930528682617,-0.081931,0.0018187578303585639,2953,False
SCHW,126,0.08784057172980131,0.5932280451945334,0.593228,0.13608251766262025,2953,False
SLB,21,0.11880430575773737,0.5810634686394602,0.581063,0.18043729840927059,2953,False
SLB,63,0.19488492135425298,0.32854458499854383,0.328545,0.08664225263691605,2953,False
SLB,126,0.1442134532322156,0.505442804326848,0.505443,0.2083096551274839,2953,False
SO,21,0.030959891710363785,0.8035666708562429,0.803567,0.20589178258409668,2953,False
SO,63,0.06563294106597307,0.602802924125431,0.602803,0.09071684997531726,2953,False
SO,126,0.09895024920021614,0.3964445323094646,0.396445,0.0720640315487806,2953,False
SPG,21,0.06213165344172647,0.6986790261843566,0.698679,0.2212712238926675,2953,False
SPG,63,0.0679560151851944,0.6696471889858197,0.669647,0.18755259798670576,2953,False
SPG,126,0.11277649421717652,0.46297038901966797,0.46297,0.12558967001713883,2953,False
T,21,0.12584755652457574,0.4130320698802655,0.413032,0.02488696204525287,2953,False
T,63,0.19912401808655647,0.05146538788436545,0.051465,0.0011535226576460111,2953,False
T,126,0.15928964489215042,0.25816754137522957,0.258168,0.0182674374803673,2953,False
TGT,21,0.14815279520275992,0.3961958106533336,0.396196,0.0800712058970825,2953,False
TGT,63,0.17388999782102865,0.3138511155688845,0.313851,0.04022454398774933,2953,False
TGT,126,0.12206938991578065,0.5401035623154116,0.540104,0.13775861888215168,2953,False
TMO,21,0.057262877346912405,0.7673680459980774,0.767368,0.292770893950023,2953,False
TMO,63,0.08498936880291533,0.6563216257787057,0.656322,0.25336964607185575,2953,False
TMO,126,0.1169737031879964,0.5432739051688571,0.543274,0.19170770704589157,2953,False
TSLA,21,0.23781665600290355,0.505500109191311,0.5055,0.08078870210135602,2953,False
TSLA,63,0.3170572643165368,0.32765434573141233,0.327654,0.02576277091506396,2953,False
TSLA,126,0.3469246510301243,0.2514016917534852,0.251402,0.010843929745778524,2953,False
TXN,21,0.1862633684336395,0.22874372418072025,0.228744,0.023353862896917543,2953,False
TXN,63,0.23580577981654968,0.04630545417419877,0.046305,0.0007650015586813108,2953,False
TXN,126,0.13285160200666873,0.4854657181866115,0.485466,0.16157572728153125,2953,False
UNH,21,0.002103112148132913,1.1456063514801327,1.145606,0.3644343429893564,2953,False
UNH,63,0.12163152329334756,0.56032686134927,0.560327,0.20158479475186541,2953,False
UNH,126,0.1269958041621983,0.5536697830164283,0.55367,0.17671627637665377,2953,False
