ticker,horizon,bucket,n,rmse,qlike,mean_y_true,mean_y_pred,mean_bias
APD,63,middle_80,2012,0.026521960618041074,0.011055326249090041,0.18489796914708923,0.17700416242112235,-0.007893806725966856
APD,63,top_10,252,0.17961137140530456,0.23207869087442434,0.3322888275511394,0.1989875540349648,-0.1333012735161746
APD,126,bottom_10,252,0.026199934453981354,0.01757670920607311,0.12311671373645108,0.14267502941156385,0.01955831567511274
APD,126,middle_80,2012,0.020572206109638908,0.006576647524389852,0.18788257313763823,0.17911527197148766,-0.008767301166150605
APD,126,top_10,252,0.14405770489754827,0.163968330927986,0.3304503975394648,0.21195715158028114,-0.11849324595918362
AVGO,21,bottom_10,252,0.06235665183156192,0.04311412114289569,0.17075897323024272,0.23035922139507461,0.05960024816483186
AVGO,21,middle_80,2012,0.042273493113882316,0.013519443470800717,0.2561114492432669,0.25385292365229123,-0.0022585255909756278
AVGO,21,top_10,252,0.24750552146407423,0.19033870708924608,0.4589685527390427,0.3027488987829698,-0.15621965395607293
AVGO,63,bottom_10,252,0.04211735662953418,0.018668111395750576,0.1870789657876151,0.22558870559927174,0.038509739811656674
AVGO,63,middle_80,2012,0.0361645477942832,0.009525710136979856,0.26511000322144485,0.2589560282702468,-0.006153974951198021
AVGO,63,top_10,252,0.22283985492717778,0.19203309305340788,0.4525766055183654,0.288406193826214,-0.1641704116921515
AVGO,126,bottom_10,252,0.04073162236195333,0.014566222293000608,0.1979919938877209,0.22956496107691385,0.03157296718919293
AVGO,126,middle_80,2012,0.027401700084138593,0.005177065897274244,0.27072394070698486,0.26573815286437436,-0.004985787842610523
